"34R3P23QHR0RGI0R0QUIT9JFIBYHWQ","323Q6SJS8IGRSGCQ03PKD5SZITVHFQ",42,"Approved","Mon Jan 09 15:17:12 PST 2017","Mon Jan 09 17:36:08 PST 2017",,,303,"205__Conference_4__throws_8 0","205__review_7__throws_8 0","205__spanner_10__throws_8 0","205__machinery_14__throws_8 1",,,,"6006__cold_21__clarity_22 2","7962__responded_22__tones_27 1","7962__biologically_23__tones_27 0","7962__spiritually_25__tones_27 2","7962__donkey-brown_31__tones_27 1",,,"4__inefficient_37__headquarters_33 0","299__brief_25__foray_26 1","299__charts_29__foray_26 0","299__considerable_32__foray_26 0","299__embarrassment_33__foray_26 0",,,"3049__successful_36__model_37 0","7871__hair_4__shot_11 2","7871__thick_7__shot_11 1","7871__needles_14__shot_11 3","7871__glittering_16__shot_11 2",,,"7964__mind_43__light_40 1","2806__inspectorate_15__regulate_21 0","2806__established_19__regulate_21 0","2806__smell_23__regulate_21 0","2806__farm_25__regulate_21 0",,,"5954__mist_18__golden_17 1",3,1,0,,
"34R3P23QHR0RGI0R0QUIT9JFIBYHWQ","33M4IA01QG1LHWHEW270XGUC97MXRR",43,"Approved","Mon Jan 09 14:13:09 PST 2017","Mon Jan 09 17:36:09 PST 2017",,,106,"205__Conference_4__throws_8 0","205__review_7__throws_8 0","205__spanner_10__throws_8 1","205__machinery_14__throws_8 1",,,,"6006__cold_21__clarity_22 1","7962__responded_22__tones_27 0","7962__biologically_23__tones_27 0","7962__spiritually_25__tones_27 0","7962__donkey-brown_31__tones_27 0",,,"4__inefficient_37__headquarters_33 0","299__brief_25__foray_26 0","299__charts_29__foray_26 0","299__considerable_32__foray_26 0","299__embarrassment_33__foray_26 0",,,"3049__successful_36__model_37 0","7871__hair_4__shot_11 0","7871__thick_7__shot_11 0","7871__needles_14__shot_11 1","7871__glittering_16__shot_11 2",,,"7964__mind_43__light_40 1","2806__inspectorate_15__regulate_21 0","2806__established_19__regulate_21 0","2806__smell_23__regulate_21 0","2806__farm_25__regulate_21 0",,,"5954__mist_18__golden_17 1",3,1,0,,
"34R3P23QHR0RGI0R0QUIT9JFIBYHWQ","34BBWHLWHABTZX95WAH5H5FED9XWIT",44,"Approved","Mon Jan 09 14:18:56 PST 2017","Mon Jan 09 17:36:09 PST 2017",,,291,"205__Conference_4__throws_8 1","205__review_7__throws_8 1","205__spanner_10__throws_8 3","205__machinery_14__throws_8 3",,,,"6006__cold_21__clarity_22 1","7962__responded_22__tones_27 1","7962__biologically_23__tones_27 3","7962__spiritually_25__tones_27 3","7962__donkey-brown_31__tones_27 3",,,"4__inefficient_37__headquarters_33 1","299__brief_25__foray_26 1","299__charts_29__foray_26 3","299__considerable_32__foray_26 1","299__embarrassment_33__foray_26 3",,,"3049__successful_36__model_37 1","7871__hair_4__shot_11 1","7871__thick_7__shot_11 1","7871__needles_14__shot_11 3","7871__glittering_16__shot_11 3",,,"7964__mind_43__light_40 1","2806__inspectorate_15__regulate_21 3","2806__established_19__regulate_21 1","2806__smell_23__regulate_21 1","2806__farm_25__regulate_21 1",,,"5954__mist_18__golden_17 3",3,1,1,,
"34R3P23QHR0RGI0R0QUIT9JFIBYHWQ","38F71OA9GTWDKUD1R05X5A0VZFNFMQ",10,"Approved","Mon Jan 09 12:35:53 PST 2017","Mon Jan 09 17:36:09 PST 2017",,,604,"205__Conference_4__throws_8 1","205__review_7__throws_8 1","205__spanner_10__throws_8 2","205__machinery_14__throws_8 3",,,,"6006__cold_21__clarity_22 3","7962__responded_22__tones_27 0","7962__biologically_23__tones_27 0","7962__spiritually_25__tones_27 0","7962__donkey-brown_31__tones_27 2",,,"4__inefficient_37__headquarters_33 0","299__brief_25__foray_26 2","299__charts_29__foray_26 2","299__considerable_32__foray_26 0","299__embarrassment_33__foray_26 0",,,"3049__successful_36__model_37 0","7871__hair_4__shot_11 3","7871__thick_7__shot_11 1","7871__needles_14__shot_11 3","7871__glittering_16__shot_11 3",,,"7964__mind_43__light_40 3","2806__inspectorate_15__regulate_21 0","2806__established_19__regulate_21 0","2806__smell_23__regulate_21 0","2806__farm_25__regulate_21 0",,,"5954__mist_18__golden_17 3",3,1,0,,
"34R3P23QHR0RGI0R0QUIT9JFIBYHWQ","3KMS4QQVK2QIU6DY6OSHQX8RAASKFQ",25,"Approved","Mon Jan 09 12:32:00 PST 2017","Mon Jan 09 17:36:10 PST 2017",,,277,"205__Conference_4__throws_8 1","205__review_7__throws_8 2","205__spanner_10__throws_8 3","205__machinery_14__throws_8 0",,,,"6006__cold_21__clarity_22 3","7962__responded_22__tones_27 1","7962__biologically_23__tones_27 3","7962__spiritually_25__tones_27 1","7962__donkey-brown_31__tones_27 0",,,"4__inefficient_37__headquarters_33 0","299__brief_25__foray_26 1","299__charts_29__foray_26 3","299__considerable_32__foray_26 2","299__embarrassment_33__foray_26 3",,,"3049__successful_36__model_37 1","7871__hair_4__shot_11 1","7871__thick_7__shot_11 1","7871__needles_14__shot_11 3","7871__glittering_16__shot_11 3",,,"7964__mind_43__light_40 3","2806__inspectorate_15__regulate_21 3","2806__established_19__regulate_21 0","2806__smell_23__regulate_21 3","2806__farm_25__regulate_21 3",,,"5954__mist_18__golden_17 3",3,1,0,,
"3B9J25CZ24C7ST82UT6GLTJEZ6XSCD","31IBVUNM9SZWAH7A5S6OS6J8Q8ZVFN",45,"Approved","Mon Jan 09 12:44:50 PST 2017","Mon Jan 09 17:36:10 PST 2017",,,282,"44__Employers_1__release_6 0","44__required_4__release_6 0","44__16-18-year-olds_7__release_6 0","44__days_16__release_6 0",,,,"7733__current_9__flows_10 2","6004__faint_19__swimming_20 1","6004__head_23__swimming_20 0","6004__tautening_26__swimming_20 0","6004__gut_29__swimming_20 0",,,"7710__field_27__weaker_26 0","396__meetings_5__holding_3 0","396__children_7__holding_3 0","396__people_17__holding_3 0","396__walks_20__holding_3 0",,,"2447__heard_6__strike_10 0","57__workers_7__rights_10 0","57__enjoyed_8__rights_10 0","57__positive_9__rights_10 0","57__law_12__rights_10 0",,,"7663__roughly_4__divided_5 0","2811__produce_33__mountains_36 0","2811__huge_34__mountains_36 3","2811__food_35__mountains_36 0","2811__refuse_41__mountains_36 0",,,"1432__change_37__feel_35 0",3,1,0,,
"3B9J25CZ24C7ST82UT6GLTJEZ6XSCD","31Z0PCVWUKF4IWOFIE8X3WI6VZ4T75",19,"Approved","Mon Jan 09 14:14:00 PST 2017","Mon Jan 09 17:36:10 PST 2017",,,362,"44__Employers_1__release_6 1","44__required_4__release_6 0","44__16-18-year-olds_7__release_6 0","44__days_16__release_6 1",,,,"7733__current_9__flows_10 2","6004__faint_19__swimming_20 1","6004__head_23__swimming_20 0","6004__tautening_26__swimming_20 0","6004__gut_29__swimming_20 1",,,"7710__field_27__weaker_26 2","396__meetings_5__holding_3 1","396__children_7__holding_3 0","396__people_17__holding_3 1","396__walks_20__holding_3 0",,,"2447__heard_6__strike_10 0","57__workers_7__rights_10 0","57__enjoyed_8__rights_10 1","57__positive_9__rights_10 1","57__law_12__rights_10 1",,,"7663__roughly_4__divided_5 0","2811__produce_33__mountains_36 1","2811__huge_34__mountains_36 1","2811__food_35__mountains_36 2","2811__refuse_41__mountains_36 1",,,"1432__change_37__feel_35 0",3,1,0,,
"3B9J25CZ24C7ST82UT6GLTJEZ6XSCD","32VNZTT0A74UJUT4CR5V05XEGCH4RJ",1,"Approved","Mon Jan 09 14:01:17 PST 2017","Mon Jan 09 17:36:10 PST 2017",,,265,"44__Employers_1__release_6 0","44__required_4__release_6 0","44__16-18-year-olds_7__release_6 1","44__days_16__release_6 0",,,,"7733__current_9__flows_10 3","6004__faint_19__swimming_20 2","6004__head_23__swimming_20 1","6004__tautening_26__swimming_20 0","6004__gut_29__swimming_20 1",,,"7710__field_27__weaker_26 3","396__meetings_5__holding_3 1","396__children_7__holding_3 0","396__people_17__holding_3 0","396__walks_20__holding_3 0",,,"2447__heard_6__strike_10 0","57__workers_7__rights_10 1","57__enjoyed_8__rights_10 1","57__positive_9__rights_10 2","57__law_12__rights_10 2",,,"7663__roughly_4__divided_5 1","2811__produce_33__mountains_36 1","2811__huge_34__mountains_36 1","2811__food_35__mountains_36 3","2811__refuse_41__mountains_36 0",,,"1432__change_37__feel_35 1",3,1,0,,
"3B9J25CZ24C7ST82UT6GLTJEZ6XSCD","3DIP6YHAPCS6TRB12OB8IAE039QE8Q",46,"Rejected","Mon Jan 09 15:06:19 PST 2017",,"Mon Jan 09 17:36:10 PST 2017","Auto-Reject: Quality-control program identified this assignment as spam.",683,"44__Employers_1__release_6 0","44__required_4__release_6 1","44__16-18-year-olds_7__release_6 3","44__days_16__release_6 0",,,,"7733__current_9__flows_10 0","6004__faint_19__swimming_20 1","6004__head_23__swimming_20 1","6004__tautening_26__swimming_20 1","6004__gut_29__swimming_20 1",,,"7710__field_27__weaker_26 1","396__meetings_5__holding_3 1","396__children_7__holding_3 1","396__people_17__holding_3 0","396__walks_20__holding_3 2",,,"2447__heard_6__strike_10 0","57__workers_7__rights_10 1","57__enjoyed_8__rights_10 2","57__positive_9__rights_10 3","57__law_12__rights_10 1",,,"7663__roughly_4__divided_5 1","2811__produce_33__mountains_36 3","2811__huge_34__mountains_36 1","2811__food_35__mountains_36 1","2811__refuse_41__mountains_36 0",,,"1432__change_37__feel_35 1",3,1,0,,
"3B9J25CZ24C7ST82UT6GLTJEZ6XSCD","3S06PH7KSR4JQLDG78R9XI97PRE1DV",10,"Approved","Mon Jan 09 13:11:52 PST 2017","Mon Jan 09 17:36:10 PST 2017",,,222,"44__Employers_1__release_6 1","44__required_4__release_6 0","44__16-18-year-olds_7__release_6 0","44__days_16__release_6 0",,,,"7733__current_9__flows_10 1","6004__faint_19__swimming_20 1","6004__head_23__swimming_20 3","6004__tautening_26__swimming_20 3","6004__gut_29__swimming_20 1",,,"7710__field_27__weaker_26 1","396__meetings_5__holding_3 0","396__children_7__holding_3 0","396__people_17__holding_3 0","396__walks_20__holding_3 0",,,"2447__heard_6__strike_10 1","57__workers_7__rights_10 1","57__enjoyed_8__rights_10 1","57__positive_9__rights_10 1","57__law_12__rights_10 0",,,"7663__roughly_4__divided_5 1","2811__produce_33__mountains_36 3","2811__huge_34__mountains_36 1","2811__food_35__mountains_36 3","2811__refuse_41__mountains_36 1",,,"1432__change_37__feel_35 0",3,1,0,,
"3B9J25CZ24C7ST82UT6GLTJEZ6XSCD","3SBEHTYCWN3XO245BBZT220UOI7YI6",47,"Approved","Mon Jan 09 17:48:39 PST 2017","Mon Jan 09 21:21:27 PST 2017",,,498,"44__Employers_1__release_6 1","44__required_4__release_6 0","44__16-18-year-olds_7__release_6 0","44__days_16__release_6 0",,,,"7733__current_9__flows_10 0","6004__faint_19__swimming_20 0","6004__head_23__swimming_20 1","6004__tautening_26__swimming_20 0","6004__gut_29__swimming_20 0",,,"7710__field_27__weaker_26 0","396__meetings_5__holding_3 0","396__children_7__holding_3 0","396__people_17__holding_3 0","396__walks_20__holding_3 0",,,"2447__heard_6__strike_10 0","57__workers_7__rights_10 0","57__enjoyed_8__rights_10 0","57__positive_9__rights_10 0","57__law_12__rights_10 0",,,"7663__roughly_4__divided_5 0","2811__produce_33__mountains_36 0","2811__huge_34__mountains_36 0","2811__food_35__mountains_36 2","2811__refuse_41__mountains_36 1",,,"1432__change_37__feel_35 0",2,0,0,,
"HITId","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","Answer.0metaphorNovelty0","Answer.0metaphorNovelty1","Answer.0metaphorNovelty2","Answer.0metaphorNovelty3","Answer.0metaphorNovelty4","Answer.0metaphorNovelty5","Answer.0metaphorNovelty6","Answer.1metaphorNovelty0","Answer.2metaphorNovelty0","Answer.2metaphorNovelty1","Answer.2metaphorNovelty2","Answer.2metaphorNovelty3","Answer.2metaphorNovelty4","Answer.2metaphorNovelty5","Answer.3metaphorNovelty0","Answer.4metaphorNovelty0","Answer.4metaphorNovelty1","Answer.4metaphorNovelty2","Answer.4metaphorNovelty3","Answer.4metaphorNovelty4","Answer.4metaphorNovelty5","Answer.5metaphorNovelty0","Answer.6metaphorNovelty0","Answer.6metaphorNovelty1","Answer.6metaphorNovelty2","Answer.6metaphorNovelty3","Answer.6metaphorNovelty4","Answer.6metaphorNovelty5","Answer.7metaphorNovelty0","Answer.8metaphorNovelty0","Answer.8metaphorNovelty1","Answer.8metaphorNovelty2","Answer.8metaphorNovelty3","Answer.8metaphorNovelty4","Answer.8metaphorNovelty5","Answer.9metaphorNovelty0","Answer.example1","Answer.example2","Answer.example3","Approve","Reject"
"3JMNNNO3B03N1SX9H5RB65DDTSWW23","32N49TQG3GI1EQQ2UCKWE58HT0XVA1",48,"Approved","Thu Jan 12 02:37:56 PST 2017","Thu Jan 12 10:47:52 PST 2017",,,362,"6003__drink_63__laced_69 1","6003__ice-free_64__laced_69 0","6003__vodka_68__laced_69 2","6003__drops_72__laced_69 0",,,,"349__strength_2__highlighted_7 1","1127__drawing_18__look_20 1","1127__garden_26__look_20 1","1127__fields_30__look_20 0","1127__stretch_34__look_20 0",,,"3276__correct_29__answer_26 0","40__providing_21__courses_26 1","40__grants_22__courses_26 0","40__four-year_24__courses_26 1","40__training_25__courses_26 1",,,"3269__reached_14__answer_11 1","3251__setting_24__imposes_34 1","3251__climate_33__imposes_34 2","3251__restraints_36__imposes_34 1","3251__modes_39__imposes_34 2",,,"2803__forebears_16__medieval_15 3","3285__lens_12__interpret_16 1","3285__able_14__interpret_16 2","3285__light_17__interpret_16 1","3285__lens_29__interpret_16 0",,,"3270__life_19__habits_20 1",3,1,0,,
"3JMNNNO3B03N1SX9H5RB65DDTSWW23","3HFNH7HEMHEAJ97OUDIW44KCA06QGJ",43,"Approved","Wed Jan 11 11:33:41 PST 2017","Thu Jan 12 10:47:52 PST 2017",,,207,"6003__drink_63__laced_69 0","6003__ice-free_64__laced_69 0","6003__vodka_68__laced_69 1","6003__drops_72__laced_69 0",,,,"349__strength_2__highlighted_7 0","1127__drawing_18__look_20 0","1127__garden_26__look_20 0","1127__fields_30__look_20 0","1127__stretch_34__look_20 0",,,"3276__correct_29__answer_26 0","40__providing_21__courses_26 0","40__grants_22__courses_26 0","40__four-year_24__courses_26 0","40__training_25__courses_26 0",,,"3269__reached_14__answer_11 0","3251__setting_24__imposes_34 0","3251__climate_33__imposes_34 1","3251__restraints_36__imposes_34 1","3251__modes_39__imposes_34 0",,,"2803__forebears_16__medieval_15 0","3285__lens_12__interpret_16 0","3285__able_14__interpret_16 0","3285__light_17__interpret_16 1","3285__lens_29__interpret_16 0",,,"3270__life_19__habits_20 0",3,1,0,,
"3JMNNNO3B03N1SX9H5RB65DDTSWW23","3LPW2N6LKT24V5PLUQJAA8QCNEA5U1",2,"Approved","Wed Jan 11 21:25:03 PST 2017","Thu Jan 12 10:47:52 PST 2017",,,312,"6003__drink_63__laced_69 1","6003__ice-free_64__laced_69 2","6003__vodka_68__laced_69 0","6003__drops_72__laced_69 1",,,,"349__strength_2__highlighted_7 1","1127__drawing_18__look_20 1","1127__garden_26__look_20 1","1127__fields_30__look_20 0","1127__stretch_34__look_20 0",,,"3276__correct_29__answer_26 2","40__providing_21__courses_26 1","40__grants_22__courses_26 1","40__four-year_24__courses_26 2","40__training_25__courses_26 2",,,"3269__reached_14__answer_11 0","3251__setting_24__imposes_34 2","3251__climate_33__imposes_34 2","3251__restraints_36__imposes_34 0","3251__modes_39__imposes_34 1",,,"2803__forebears_16__medieval_15 3","3285__lens_12__interpret_16 0","3285__able_14__interpret_16 1","3285__light_17__interpret_16 1","3285__lens_29__interpret_16 0",,,"3270__life_19__habits_20 3",3,1,0,,
"3JMNNNO3B03N1SX9H5RB65DDTSWW23","3PH3VY7DJLXFUNYFWE5RH0I49TNZWV",49,"Approved","Wed Jan 11 19:28:35 PST 2017","Thu Jan 12 10:47:52 PST 2017",,,196,"6003__drink_63__laced_69 3","6003__ice-free_64__laced_69 2","6003__vodka_68__laced_69 2","6003__drops_72__laced_69 1",,,,"349__strength_2__highlighted_7 1","1127__drawing_18__look_20 2","1127__garden_26__look_20 2","1127__fields_30__look_20 2","1127__stretch_34__look_20 2",,,"3276__correct_29__answer_26 0","40__providing_21__courses_26 0","40__grants_22__courses_26 0","40__four-year_24__courses_26 0","40__training_25__courses_26 0",,,"3269__reached_14__answer_11 2","3251__setting_24__imposes_34 1","3251__climate_33__imposes_34 1","3251__restraints_36__imposes_34 1","3251__modes_39__imposes_34 1",,,"2803__forebears_16__medieval_15 1","3285__lens_12__interpret_16 3","3285__able_14__interpret_16 1","3285__light_17__interpret_16 3","3285__lens_29__interpret_16 2",,,"3270__life_19__habits_20 0",3,1,0,,
"3JMNNNO3B03N1SX9H5RB65DDTSWW23","3TDXMTX3CBUV5IUZ5S41JBG1PC6I6Q",50,"Approved","Wed Jan 11 12:16:31 PST 2017","Thu Jan 12 10:47:52 PST 2017",,,201,"6003__drink_63__laced_69 1","6003__ice-free_64__laced_69 0","6003__vodka_68__laced_69 1","6003__drops_72__laced_69 1",,,,"349__strength_2__highlighted_7 2","1127__drawing_18__look_20 0","1127__garden_26__look_20 0","1127__fields_30__look_20 0","1127__stretch_34__look_20 1",,,"3276__correct_29__answer_26 1","40__providing_21__courses_26 1","40__grants_22__courses_26 1","40__four-year_24__courses_26 1","40__training_25__courses_26 1",,,"3269__reached_14__answer_11 2","3251__setting_24__imposes_34 2","3251__climate_33__imposes_34 2","3251__restraints_36__imposes_34 2","3251__modes_39__imposes_34 2",,,"2803__forebears_16__medieval_15 3","3285__lens_12__interpret_16 2","3285__able_14__interpret_16 1","3285__light_17__interpret_16 2","3285__lens_29__interpret_16 1",,,"3270__life_19__habits_20 0",3,1,0,,
"3MDWE879UG16D9KX7NAUTE86PXPB9V","336KAV9KYQSTDHQ3M8E1FMTDZSU2YV",2,"Approved","Wed Jan 11 21:21:17 PST 2017","Thu Jan 12 10:47:52 PST 2017",,,224,"270__ROCK_2__rollers_9 1","270__Pint-sized_4__rollers_9 2","270__rock_5__rollers_9 3","270__ahead_26__rollers_9 0",,,,"2264__bastards_19__destroy_27 1","6003__sanctuary_30__reached_95 1","6003__destruction_40__reached_95 1","6003__cigarette_53__reached_95 0","6003__drink_63__reached_95 0",,,"269__rejection_10__reduced_22 1","3240__ideas_3__reconstructions_15 1","3240__founded_11__reconstructions_15 2","3240__coloured_14__reconstructions_15 2","3240__World_19__reconstructions_15 1",,,"3249__evidence_22__direct_21 2","7962__biologically_23__responded_22 3","7962__spiritually_25__responded_22 3","7962__tones_27__responded_22 0","7962__black_29__responded_22 0",,,"3054__system_17__irritation_16 3","423__runs_6__business_11 1","423__country_8__business_11 1","423__house_9__business_11 1","423__restoration_10__business_11 1",,,"10577__completely_32__lost_33 1",3,1,0,,
"3MDWE879UG16D9KX7NAUTE86PXPB9V","33LK57MYLT5MN6H6C9VQKBFJ3GQSZ8",49,"Approved","Wed Jan 11 19:02:57 PST 2017","Thu Jan 12 10:47:57 PST 2017",,,186,"270__ROCK_2__rollers_9 1","270__Pint-sized_4__rollers_9 3","270__rock_5__rollers_9 1","270__ahead_26__rollers_9 1",,,,"2264__bastards_19__destroy_27 1","6003__sanctuary_30__reached_95 3","6003__destruction_40__reached_95 3","6003__cigarette_53__reached_95 3","6003__drink_63__reached_95 2",,,"269__rejection_10__reduced_22 1","3240__ideas_3__reconstructions_15 2","3240__founded_11__reconstructions_15 2","3240__coloured_14__reconstructions_15 2","3240__World_19__reconstructions_15 2",,,"3249__evidence_22__direct_21 1","7962__biologically_23__responded_22 1","7962__spiritually_25__responded_22 1","7962__tones_27__responded_22 1","7962__black_29__responded_22 1",,,"3054__system_17__irritation_16 2","423__runs_6__business_11 1","423__country_8__business_11 1","423__house_9__business_11 1","423__restoration_10__business_11 2",,,"10577__completely_32__lost_33 1",3,1,0,,
"3MDWE879UG16D9KX7NAUTE86PXPB9V","3BV8HQ2ZZW1GZ0B1T4CO2DSIC8B6AS",51,"Rejected","Thu Jan 12 11:15:47 PST 2017",,"Thu Jan 12 11:52:50 PST 2017","Auto-Reject: Quality-control program identified this assignment as spam.",68,"270__ROCK_2__rollers_9 2","270__Pint-sized_4__rollers_9 3","270__rock_5__rollers_9 2","270__ahead_26__rollers_9 1",,,,"2264__bastards_19__destroy_27 2","6003__sanctuary_30__reached_95 2","6003__destruction_40__reached_95 3","6003__cigarette_53__reached_95 2","6003__drink_63__reached_95 2",,,"269__rejection_10__reduced_22 1","3240__ideas_3__reconstructions_15 2","3240__founded_11__reconstructions_15 2","3240__coloured_14__reconstructions_15 3",,,,"3249__evidence_22__direct_21 1","7962__biologically_23__responded_22 2","7962__spiritually_25__responded_22 2","7962__tones_27__responded_22 3","7962__black_29__responded_22 2",,,"3054__system_17__irritation_16 3","423__runs_6__business_11 2","423__country_8__business_11 2","423__house_9__business_11 1","423__restoration_10__business_11 2",,,"10577__completely_32__lost_33 2",2,2,2,,
"3MDWE879UG16D9KX7NAUTE86PXPB9V","3EJPLAJKEMGH08J95WSNJ6JRLPK6ZN",52,"Rejected","Wed Jan 11 10:54:37 PST 2017",,"Thu Jan 12 10:47:57 PST 2017","Auto-Reject: Quality-control program identified this assignment as spam.",1166,"270__ROCK_2__rollers_9 1","270__Pint-sized_4__rollers_9 1","270__rock_5__rollers_9 1","270__ahead_26__rollers_9 1",,,,"2264__bastards_19__destroy_27 1","6003__sanctuary_30__reached_95 1","6003__destruction_40__reached_95 0","6003__cigarette_53__reached_95 0","6003__drink_63__reached_95 1",,,"269__rejection_10__reduced_22 0","3240__ideas_3__reconstructions_15 0","3240__founded_11__reconstructions_15 0","3240__coloured_14__reconstructions_15 0","3240__World_19__reconstructions_15 0",,,"3249__evidence_22__direct_21 0","7962__biologically_23__responded_22 0","7962__spiritually_25__responded_22 0","7962__tones_27__responded_22 0","7962__black_29__responded_22 0",,,"3054__system_17__irritation_16 3","423__runs_6__business_11 0","423__country_8__business_11 0","423__house_9__business_11 2","423__restoration_10__business_11 0",,,"10577__completely_32__lost_33 0",3,1,0,,
"3MDWE879UG16D9KX7NAUTE86PXPB9V","3JZQSN0I3QADSKHFGX72S5GY32BGF1",4,"Approved","Thu Jan 12 13:58:53 PST 2017","Thu Jan 12 14:17:38 PST 2017",,,172,"270__ROCK_2__rollers_9 0","270__Pint-sized_4__rollers_9 3","270__rock_5__rollers_9 3","270__ahead_26__rollers_9 0",,,,"2264__bastards_19__destroy_27 0","6003__sanctuary_30__reached_95 0","6003__destruction_40__reached_95 0","6003__cigarette_53__reached_95 0","6003__drink_63__reached_95 0",,,"269__rejection_10__reduced_22 2","3240__ideas_3__reconstructions_15 2","3240__founded_11__reconstructions_15 1","3240__coloured_14__reconstructions_15 2","3240__World_19__reconstructions_15 0",,,"3249__evidence_22__direct_21 3","7962__biologically_23__responded_22 3","7962__spiritually_25__responded_22 2","7962__tones_27__responded_22 2","7962__black_29__responded_22 0",,,"3054__system_17__irritation_16 3","423__runs_6__business_11 1","423__country_8__business_11 2","423__house_9__business_11 2","423__restoration_10__business_11 1",,,"10577__completely_32__lost_33 1",3,1,0,,
"3MDWE879UG16D9KX7NAUTE86PXPB9V","3PH3VY7DJLXFUNYFWE5RH0I49S7ZWD",50,"Approved","Wed Jan 11 12:31:07 PST 2017","Thu Jan 12 10:47:57 PST 2017",,,157,"270__ROCK_2__rollers_9 2","270__Pint-sized_4__rollers_9 2","270__rock_5__rollers_9 2","270__ahead_26__rollers_9 2",,,,"2264__bastards_19__destroy_27 1","6003__sanctuary_30__reached_95 1","6003__destruction_40__reached_95 1","6003__cigarette_53__reached_95 1","6003__drink_63__reached_95 1",,,"269__rejection_10__reduced_22 1","3240__ideas_3__reconstructions_15 1","3240__founded_11__reconstructions_15 1","3240__coloured_14__reconstructions_15 1","3240__World_19__reconstructions_15 1",,,"3249__evidence_22__direct_21 1","7962__biologically_23__responded_22 1","7962__spiritually_25__responded_22 1","7962__tones_27__responded_22 1","7962__black_29__responded_22 1",,,"3054__system_17__irritation_16 0","423__runs_6__business_11 0","423__country_8__business_11 0","423__house_9__business_11 0","423__restoration_10__business_11 0",,,"10577__completely_32__lost_33 1",3,1,0,,
"3MDWE879UG16D9KX7NAUTE86PXPB9V","3YZ8UPK3VTMPUQY0906IOEWMFTHUCF",53,"Approved","Wed Jan 11 11:08:31 PST 2017","Thu Jan 12 10:47:57 PST 2017",,,870,"270__ROCK_2__rollers_9 0","270__Pint-sized_4__rollers_9 2","270__rock_5__rollers_9 1","270__ahead_26__rollers_9 0",,,,"2264__bastards_19__destroy_27 0","6003__sanctuary_30__reached_95 0","6003__destruction_40__reached_95 0","6003__cigarette_53__reached_95 0","6003__drink_63__reached_95 0",,,"269__rejection_10__reduced_22 0","3240__ideas_3__reconstructions_15 0","3240__founded_11__reconstructions_15 0","3240__coloured_14__reconstructions_15 2","3240__World_19__reconstructions_15 0",,,"3249__evidence_22__direct_21 1","7962__biologically_23__responded_22 3","7962__spiritually_25__responded_22 3","7962__tones_27__responded_22 0","7962__black_29__responded_22 0",,,"3054__system_17__irritation_16 0","423__runs_6__business_11 1","423__country_8__business_11 0","423__house_9__business_11 0","423__restoration_10__business_11 0",,,"10577__completely_32__lost_33 1",3,1,0,,
"3OEWW2KGQIA2ZTMNN8KILURVNHNDOI","39U1BHVTDLRMHDNSG257QF6QQ463TC",4,"Approved","Wed Jan 11 19:17:21 PST 2017","Thu Jan 12 10:47:57 PST 2017",,,148,"7900__mass_4__melding_9 3","7900__sometimes_8__melding_9 3","7900__patches_13__melding_9 3","7900__hard_20__melding_9 0",,,,"7843__excess_15__dream_12 3","7681__Hence_1__force_4 0","7681__net_3__force_4 1","7681__electron_7__force_4 1","7681__[formula_9__force_4 0",,,"322__institution_30__venerable_27 1","7606__phenomena_9__played_16 0","7606__role_14__played_16 1","7606__current_19__played_16 0","7606__charged_21__played_16 0",,,"7610__discussed_25__Section_27 1","7763__painter_10__world_17 0","7763__obsession_12__world_17 0","7763__illuminated_15__world_17 2","7763__material_16__world_17 3",,,"5977__intuition_5__accurate_8 1","296__expect_11__doodlings_15 0","296__self_12__doodlings_15 3","296__-absorbed_13__doodlings_15 3","296__acoustic_14__doodlings_15 3",,,"7733__flows_10__current_9 2",3,1,0,,
"3OEWW2KGQIA2ZTMNN8KILURVNHNDOI","3E1QT0TDFP9I9WDNY71Z3PCSV9HI81",49,"Approved","Wed Jan 11 18:58:35 PST 2017","Thu Jan 12 10:47:57 PST 2017",,,109,"7900__mass_4__melding_9 0","7900__sometimes_8__melding_9 0","7900__patches_13__melding_9 0","7900__hard_20__melding_9 0",,,,"7843__excess_15__dream_12 3","7681__Hence_1__force_4 3","7681__net_3__force_4 3","7681__electron_7__force_4 2","7681__[formula_9__force_4 2",,,"322__institution_30__venerable_27 1","7606__phenomena_9__played_16 2","7606__role_14__played_16 1","7606__current_19__played_16 1","7606__charged_21__played_16 0",,,"7610__discussed_25__Section_27 1","7763__painter_10__world_17 1","7763__obsession_12__world_17 1","7763__illuminated_15__world_17 1","7763__material_16__world_17 1",,,"5977__intuition_5__accurate_8 1","296__expect_11__doodlings_15 1","296__self_12__doodlings_15 3","296__-absorbed_13__doodlings_15 3","296__acoustic_14__doodlings_15 3",,,"7733__flows_10__current_9 1",3,1,0,,
